S No., Constraints, Programs, Exec. Time
24,(and (<= (f x y) (+ (f x y) (f x y))) (<= (f x y) (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),159152
25,(or (< y (+ y y)) (= (f y y) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),152369
26,(and (< (- x y) (- x y)) (<= (+ (- x y) (f x y)) (- x y))),unknown,152572
27,(or (> y x) (> y x)),unknown,151663
28,(and (<= y (f x y)) (<= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),159731
29,(or (= (+ x x) (f x x)) (= y (+ x x))),Timeout,167873
30,(and (> (- y y) (- y y)) (<= x y)),unknown,152393
31,(or (< (f y y) x) (<= (- x x) y)),unknown,157490
32,(or (< y (- x y)) (< y (- x y))),unknown,155232
33,(and (>= y y) (= (f x x) (+ (f x x) y))),unknown,162587
34,(and (<= x (+ y (- (f y x) x))) (<= x (+ y (- (f y x) x)))),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) (* 2 y))),159487
35,(and (<= (- y x) x) (<= (- y x) x)),unknown,151359
36,(or (>= (f y y) (- (f y y) x)) (<= (f y y) y)),(define-fun f ((x Int) (y Int)) Int x),161317
37,(and (< x x) (= x (- (f x y) x))),unknown,151729
38,(or (< (- y y) (- y y)) (<= (- y y) x)),unknown,157721
39,(and (< (f y y) y) (<= (+ x x) x)),unknown,155551
40,(or (> x y) (> x y)),unknown,151202
41,(and (< (f x y) (f x y)) (< (f x y) (f x y))),unknown,154881
42,(and (>= (+ y (f y x)) (+ y (f y x))) (< (+ y (f y x)) (+ y (f y x)))),unknown,152689
43,(or (>= x (f y x)) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),149241
44,(and (= (+ (f x y) y) (+ (f x y) y)) (= (+ (f x y) y) (+ (f x y) y))),(define-fun f ((x Int) (y Int)) Int 0),126231
45,(or (= (f x y) (+ y x)) (= (f x y) (+ y x))),(define-fun f ((x Int) (y Int)) Int (+ x y)),110061
46,(and (= (+ y (f x x)) (- x x)) (>= (- x x) (f x x))),unknown,120063
47,(or (= y (f x x)) (= y (f x x))),unknown,125868
48,(or (>= (- (f y y) (f y y)) (f y y)) (>= (- (f y y) (f y y)) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),109792
49,(and (< (f x y) x) (< (f x y) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),111405
50,(or (>= y x) (>= y x)),unknown,106270
51,(or (< (f y y) (+ (f y y) (- x x))) (<= (- x x) (- x x))),(define-fun f ((x Int) (y Int)) Int 0),106364
52,(or (= (- x y) x) (< (f y x) (- y (f y x)))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (div x 2))) (ite (and (not (= x 0)) (not (>= (+ x (* (- 2) _let_0)) 1))) (div (+ (- 2) x) 2) _let_0))),122348
53,(or (= (f y x) y) (>= x x)),(define-fun f ((x Int) (y Int)) Int 0),105431
54,(or (>= x x) (= y (+ y (+ y x)))),(define-fun f ((x Int) (y Int)) Int 0),113607
55,(or (> (+ x x) (f y y)) (> (+ x x) (f y y))),Timeout,154465
56,(and (> x (+ y (f x y))) (> x (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x (* (- 1) y))),128125
57,(or (< (- y y) (- y y)) (> x (- y y))),unknown,113605
58,(or (>= x (f y y)) (= x (f y y))),Timeout,151336
59,(and (>= y (f x x)) (>= y (f x x))),unknown,90440
60,(and (> (+ y x) x) (> (+ y x) x)),unknown,89867
61,(and (<= (+ y (f x x)) (+ y (f x x))) (<= (+ y (f x x)) (+ y (f x x)))),(define-fun f ((x Int) (y Int)) Int 0),93654
62,(and (>= x (- y y)) (> (- y y) x)),unknown,90196
63,(and (> (+ y (f x y)) y) (= (f x y) x)),unknown,94854
64,(or (< x y) (< x y)),unknown,90499
65,(and (<= x (f y x)) (>= x x)),(define-fun f ((x Int) (y Int)) Int y),95018
66,(or (> (- x (+ y (f y y))) x) (> (- x (+ y (f y y))) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x))),94837
67,(or (< (f y y) y) (< (f y y) y)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),100345
68,(or (< (+ (f x x) (f x x)) (+ (f x x) (f x x))) (= x (+ (+ (f x x) (f x x)) (+ (f x x) (f x x))))),unknown,105357
69,(and (> x x) (> x x)),unknown,89487
70,(and (<= x y) (= (- (f y y) x) (+ y (- (f y y) x)))),unknown,99271
71,(or (> (+ (f x x) y) (+ (f x x) y)) (> (+ (f x x) y) (+ (f x x) y))),unknown,101024
72,(or (< (- x (+ x x)) x) (< (- x (+ x x)) x)),unknown,107694
73,(or (<= y y) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),90780
74,(or (<= (f x y) (f x y)) (>= (- x (- x y)) x)),(define-fun f ((x Int) (y Int)) Int 0),91424
75,(or (> x (- y y)) (<= (+ (f y y) (f y y)) y)),(define-fun f ((x Int) (y Int)) Int (ite (and (= x y) (not (>= (+ y (* (- 2) (div (+ 1 y) 2))) 0))) (div (+ (- 1) y) 2) (div (+ 1 x) 2))),112680
76,(and (>= (f y y) x) (>= (f y y) x)),unknown,105300
77,(or (= (f x y) y) (<= (f x y) x)),(define-fun f ((x Int) (y Int)) Int y),111043
78,(or (= y y) (<= (f x x) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),105072
79,(and (< x (- y y)) (< x (- y y))),unknown,108047
80,(or (< (f x x) y) (< (f x x) y)),unknown,97721
81,(and (< y x) (>= y (+ (f x x) x))),unknown,93938
82,(and (= (f y y) (f y y)) (= (f y y) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),90125
83,(or (>= y (f y y)) (> (+ y y) (f y y))),(define-fun f ((x Int) (y Int)) Int x),99190
84,(or (<= y (- y x)) (<= x (- (- y x) (- y x)))),unknown,91898
85,(or (>= y (- y x)) (>= y (- y x))),unknown,89311
86,(and (>= y y) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),90635
87,(or (= (- y (f y x)) (- y (f y x))) (= y y)),(define-fun f ((x Int) (y Int)) Int 0),90369
88,(or (= (- x y) y) (= (- x y) y)),unknown,97444
89,(or (>= (f y x) y) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),95822
90,(and (= x x) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),90546
91,(and (< (+ x (f x x)) y) (< (+ x (f x x)) y)),unknown,91740
92,(and (<= (f y y) (+ (- (f y y) x) (- (f y y) x))) (<= (f y y) (+ (- (f y y) x) (- (f y y) x)))),Timeout,143627
93,(and (< (f x x) x) (>= (f x x) (- y y))),unknown,98815
94,(and (<= (- x (f x x)) x) (<= (- x (f x x)) x)),(define-fun f ((x Int) (y Int)) Int 0),94465
95,(and (< x x) (< x x)),unknown,91094
96,(and (>= y (+ y y)) (>= y (+ y y))),unknown,91903
97,(or (= y (+ x (f x y))) (= y (+ x (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) y)),88210
98,(or (> x (f x x)) (> x (f x x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),98567
99,(and (> x (- x x)) (<= (- x x) (f x y))),unknown,98167
100,(or (<= x x) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),95095
101,(or (> (f y y) (- (f y y) x)) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),96152
102,(or (> y x) (< (f y x) (f y x))),unknown,91716
103,(or (> x x) (>= (- y y) (- y y))),(define-fun f ((x Int) (y Int)) Int 0),91410
104,(or (> x y) (> x y)),unknown,96280
105,(or (< (- x (f x x)) (- x (f x x))) (< (- x (f x x)) (- x (f x x)))),unknown,92292
106,(or (> (f y y) x) (> (f y y) x)),unknown,90896
107,(or (>= (f x x) (- y x)) (>= (f x x) (- y x))),unknown,90901
108,(or (> x (f y y)) (> x (f y y))),unknown,91661
109,(or (>= y (+ x y)) (>= y (+ x y))),unknown,90843
110,(and (> (f y x) x) (<= x y)),unknown,95135
111,(or (<= (- x y) y) (> y (+ (f y y) x))),unknown,92400
112,(and (= (f y x) x) (< (- x x) (- x x))),unknown,91501
113,(or (< y (- (f x y) x)) (< y (- (f x y) x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x y)),96556
114,(and (< x (f x x)) (< x (f x x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),96321
115,(or (> y x) (< y (+ x x))),unknown,99133
116,(or (> (+ y (f y y)) x) (> (- (f y y) y) (f y y))),unknown,92172
117,(and (< x (+ y y)) (>= (f x y) x)),unknown,93583
118,(and (>= (f y x) (+ (f y x) x)) (>= (+ (f y x) x) x)),unknown,93675
119,(and (= y (- (f x y) x)) (< x y)),unknown,93178
120,(or (= (f y x) (+ x (- x (f y x)))) (= (f y x) (+ x (- x (f y x))))),(define-fun f ((x Int) (y Int)) Int y),88997
121,(and (> y (+ y y)) (> y (+ y y))),unknown,91521
122,(or (< y (- y x)) (> y x)),unknown,91567
123,(or (>= x (+ y (f y x))) (>= x (+ y (f y x)))),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) y)),95469
124,(or (> x y) (> x y)),unknown,90875
125,(or (>= y y) (>= (- y x) x)),(define-fun f ((x Int) (y Int)) Int 0),94547
126,(or (> (f x y) x) (< x (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),117761
127,(or (= (f y y) y) (= (f y y) y)),(define-fun f ((x Int) (y Int)) Int x),111406
128,(or (> x (+ y (f x x))) (> x (+ y (f x x)))),unknown,112419
129,(or (< (+ y y) y) (> (- (+ y y) x) (+ y y))),unknown,105825
130,(or (< (- x y) y) (> y x)),unknown,94473
131,(and (>= (+ y y) (f x x)) (>= (+ y y) (f x x))),Timeout,141554
132,(or (= x x) (<= (+ (- x (f x y)) x) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),92600
133,(or (> (f y y) (f y y)) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),90855
134,(or (> y (+ (f x x) y)) (< (f x x) y)),(define-fun f ((x Int) (y Int)) Int (- 1)),96118
135,(and (>= x x) (>= x x)),(define-fun f ((x Int) (y Int)) Int 0),92955
136,(and (< y y) (= (+ x x) (+ x x))),unknown,91569
137,(or (<= y (+ (f x x) y)) (> x y)),(define-fun f ((x Int) (y Int)) Int 0),97075
138,(and (> x x) (> x x)),unknown,90711
139,(and (>= (f y y) y) (>= (f y y) y)),(define-fun f ((x Int) (y Int)) Int x),97687
140,(and (< (- (f x y) (f x y)) x) (< (- (f x y) (f x y)) x)),unknown,92146
141,(or (>= y y) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),60327
142,(or (= (+ y x) (+ y x)) (> x (- x x))),(define-fun f ((x Int) (y Int)) Int 0),47164
143,(and (< (+ y (f x y)) x) (< (+ y (f x y)) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x (* (- 1) y))),54555
144,(or (<= (+ (f y y) y) (+ (f y y) y)) (<= (+ (f y y) y) (+ (f y y) y))),(define-fun f ((x Int) (y Int)) Int 0),51519
145,(or (> x x) (<= x y)),unknown,48045
146,(and (>= x (f x x)) (>= x (f x x))),(define-fun f ((x Int) (y Int)) Int x),73435
147,(or (< (- (f y y) x) (f y y)) (< (- (f y y) x) (f y y))),unknown,141831
148,(or (<= (f y y) x) (= (- y (f y y)) y)),Timeout,182218
149,(or (<= (f y x) (- (f y x) y)) (< (f y x) y)),Timeout,187617
150,(and (< y (f y x)) (> (f y x) (- x y))),(define-fun f ((x Int) (y Int)) Int (ite (>= (+ (* 2 x) (* (- 1) y)) 1) (+ 1 x) (+ 1 (* (- 1) x) y))),180694
151,(or (< y x) (< (f x y) x)),Timeout,176112
152,(or (>= (+ (f y y) (f y y)) (f y y)) (>= (+ (f y y) (f y y)) (f y y))),Timeout,179964
153,(or (<= (+ x y) y) (<= (+ x y) y)),unknown,156516
154,(or (> x x) (> x x)),unknown,153369
155,(or (<= x (- (f x y) y)) (<= x (- (f x y) y))),(define-fun f ((x Int) (y Int)) Int (+ x y)),161944
156,(or (<= y (+ (f x x) y)) (> x (f x x))),Timeout,171733
157,(or (< (+ (f y x) y) (f y x)) (= y (+ y (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),174886
158,(and (= (+ y y) (+ y y)) (= (+ y y) (+ y y))),(define-fun f ((x Int) (y Int)) Int 0),156459
159,(and (<= x x) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),157334
160,(or (<= (- (f y y) y) y) (> (- (f y y) y) x)),(define-fun f ((x Int) (y Int)) Int (* 2 x)),168612
161,(or (= (+ (+ y x) (+ y x)) x) (> y (f y y))),Timeout,177279
162,(and (= (- (+ x (f x x)) x) (+ x (f x x))) (= (- (+ x (f x x)) x) (+ x (f x x)))),Timeout,185402
163,(and (<= (- x x) (f x x)) (<= (- x x) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),160838
164,(or (>= x (f x y)) (>= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),162629
165,(or (> y x) (> y (f x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) y)),165248
166,(and (< (+ (f x x) (- x y)) x) (< (+ (f x x) (- x y)) x)),unknown,157217
167,(and (< (+ y y) x) (>= x (f y x))),unknown,165359
168,(and (> (- y x) (+ y x)) (< (f x y) (f x y))),unknown,154446
169,(and (< (- y y) x) (= y (f y y))),unknown,160091
170,(and (>= x y) (>= x y)),unknown,154822
171,(and (< y (+ (f y x) y)) (<= (f y x) y)),unknown,165067
172,(or (>= (f y x) (f y x)) (< (+ y x) (+ y x))),(define-fun f ((x Int) (y Int)) Int 0),159811
173,(and (> (f x y) (f x y)) (> (f x y) (f x y))),unknown,155559
174,(and (>= (+ y x) y) (< (+ x (f y x)) y)),unknown,159976
175,(and (= x x) (> y y)),unknown,156826
176,(and (< (f y y) (f y y)) (< (f y y) (f y y))),unknown,164445
177,(and (> (- y (f x y)) y) (> (- y (f x y)) y)),(define-fun f ((x Int) (y Int)) Int (- 1)),166009
178,(and (>= (- (f y y) (f y y)) y) (>= (- (f y y) (f y y)) y)),unknown,175271
179,(and (>= (- y (f x x)) (- y (f x x))) (>= (- y (f x x)) (- y (f x x)))),(define-fun f ((x Int) (y Int)) Int 0),166325
180,(or (>= y (+ x y)) (>= y (+ x y))),unknown,144048
181,(and (> (+ (- x x) (f y x)) x) (> (+ (- x x) (f y x)) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),123482
182,(or (> (f y y) (- x x)) (> (f y y) (- x x))),(define-fun f ((x Int) (y Int)) Int 1),115604
183,(and (> y x) (> y x)),unknown,109856
184,(or (< (+ y (f y x)) (f y x)) (< (+ y (f y x)) (f y x))),unknown,107615
185,(and (= (+ (f y y) y) (+ (f y y) y)) (= (+ (f y y) y) (+ (f y y) y))),(define-fun f ((x Int) (y Int)) Int 0),107328
186,(and (>= (f y x) (- (f y x) (f y x))) (>= (f y x) (- (f y x) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),112139
187,(or (< (+ x (f y y)) (- (f y y) x)) (>= y (f y y))),(define-fun f ((x Int) (y Int)) Int x),115613
188,(and (>= (+ x x) (f x x)) (>= (+ x x) (f x x))),(define-fun f ((x Int) (y Int)) Int (* 2 x)),116977
189,(or (< x y) (>= (- (- x x) (f x x)) (- x x))),(define-fun f ((x Int) (y Int)) Int 0),97633
190,(or (> (f x y) y) (> (f x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),100432
191,(or (< (f y x) (+ y (- (f y x) x))) (< (f y x) (+ y (- (f y x) x)))),unknown,92854
192,(and (<= (f y y) (- x y)) (<= (f y y) (- x y))),unknown,91278
193,(and (< (f x y) x) (< (f x y) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),101585
194,(and (<= (f x x) (f x x)) (<= (f x x) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),92456
195,(and (<= x y) (>= (+ (f x y) (f x y)) y)),unknown,96018
196,(and (> y (+ (f x y) x)) (> y (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x) y)),97517
197,(and (> y x) (<= (- (f x x) x) y)),unknown,112849
198,(or (>= y x) (>= y x)),unknown,110610
199,(or (<= x x) (>= (f y y) (+ y (f y y)))),(define-fun f ((x Int) (y Int)) Int 0),93482
200,(or (> (+ (f x x) (f x x)) (f x x)) (> (+ (f x x) (f x x)) (f x x))),(define-fun f ((x Int) (y Int)) Int 1),96939
201,(or (< x (- (f y x) x)) (< (- (f y x) x) (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 (* 2 y))),98061
202,(and (> (f x x) (- y y)) (> (f x x) (- y y))),(define-fun f ((x Int) (y Int)) Int 1),100427
203,(or (<= y (- x y)) (< (f y x) (- x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x) y)),98175
204,(or (<= (+ x (f x x)) x) (<= (+ x (f x x)) x)),(define-fun f ((x Int) (y Int)) Int 0),96681
205,(or (= y (+ x x)) (= y (+ x x))),unknown,107480
206,(or (>= (f x y) (+ (f x y) x)) (>= (f x y) (+ (f x y) x))),unknown,93443
207,(and (> (- (f x x) (f x x)) (- (- (f x x) (f x x)) (- (f x x) (f x x)))) (< y (f x x))),unknown,95841
208,(or (< (f y x) (f y x)) (>= y (- x x))),unknown,91715
209,(and (<= (f x x) (f x x)) (< (- (- y (f x x)) (f x x)) (- y (f x x)))),(define-fun f ((x Int) (y Int)) Int 1),96528
210,(and (>= x (+ x x)) (>= x (+ x x))),unknown,93466
211,(and (> (+ x (f x y)) y) (> (+ x (f x y)) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 (* (- 1) x) y)),98107
212,(and (= x (- (- x (f y y)) (f y y))) (< (f y y) (- x (f y y)))),unknown,94790
213,(and (< x x) (< x x)),unknown,93487
214,(or (>= y y) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),94853
215,(and (> y x) (= (+ x (+ x y)) (+ x y))),unknown,99184
216,(or (>= (+ y y) (+ y y)) (>= (+ y y) (+ y y))),(define-fun f ((x Int) (y Int)) Int 0),92980
217,(or (>= y y) (< (- y (- x y)) (- y (- x y)))),(define-fun f ((x Int) (y Int)) Int 0),91221
218,(or (>= (+ y x) y) (>= (+ y x) y)),unknown,92318
219,(and (> y x) (> y x)),unknown,93798
220,(and (= x (+ (f y y) y)) (= x (+ (f y y) y))),unknown,111738
221,(or (= x (+ (f x x) x)) (= x (+ (f x x) x))),(define-fun f ((x Int) (y Int)) Int 0),105136
222,(or (<= (- (f x x) y) (- (f x x) y)) (<= (- (f x x) y) (- (f x x) y))),(define-fun f ((x Int) (y Int)) Int 0),106890
223,(or (< (+ y y) (f x x)) (< (+ y y) (f x x))),Timeout,156953
224,(or (> x x) (= (f y x) (+ x (f y x)))),unknown,126421
225,(and (= (- (f y x) y) (f y x)) (= (+ x x) x)),unknown,99028
226,(or (>= x x) (>= x x)),(define-fun f ((x Int) (y Int)) Int 0),95128
227,(or (<= y x) (> x (- (f y x) (f y x)))),unknown,92413
228,(and (= (+ (f y y) x) y) (> (+ (f y y) (f y y)) x)),unknown,111704
229,(or (= (- x y) (- (f y y) (f y y))) (= (- x y) (- (f y y) (f y y)))),unknown,99137
230,(or (>= x (f y x)) (>= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),98461
231,(or (>= (+ (+ y (f x y)) x) (+ y (f x y))) (>= (+ (+ y (f x y)) x) (+ y (f x y)))),unknown,93993
232,(or (<= y (- y (f x y))) (<= y (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),99534
233,(or (> (f x y) y) (< (- x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),100322
234,(and (>= y (f y x)) (>= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),96423
235,(and (<= (+ (+ x (f y y)) (+ x (f y y))) y) (<= (+ (+ x (f y y)) (+ x (f y y))) y)),Timeout,144590
236,(and (<= (+ x (+ (f y x) y)) x) (<= (+ x (+ (f y x) y)) x)),(define-fun f ((x Int) (y Int)) Int (* (- 1) x)),97589
237,(or (< (+ (f y y) y) x) (<= y x)),unknown,94695
238,(or (= y x) (= y x)),unknown,100118
239,(and (<= (+ y y) y) (<= x x)),unknown,93578
240,(and (<= y (+ x (f x x))) (<= y (+ x (f x x)))),unknown,90613
241,(or (>= (- x x) (f x x)) (< (f x x) y)),(define-fun f ((x Int) (y Int)) Int 0),98591
242,(and (= (- y (f x y)) x) (= (- y (f x y)) x)),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) y)),90650
243,(and (= (f x y) (f x y)) (<= (+ y x) x)),unknown,93476
244,(or (= (- (f x x) x) x) (= (- (f x x) x) x)),(define-fun f ((x Int) (y Int)) Int (* 2 x)),98191
245,(or (>= x (f x x)) (>= (f x x) y)),(define-fun f ((x Int) (y Int)) Int x),98662
246,(and (>= y (f x x)) (>= y (f x x))),unknown,92443
247,(or (> (f x x) (- x y)) (> (f x x) (- x y))),unknown,93686
248,(or (> y (f y x)) (>= (f y x) x)),(define-fun f ((x Int) (y Int)) Int y),100306
249,(or (<= (f y y) (- (f y y) y)) (> (- (f y y) y) x)),unknown,95627
250,(or (= y (f x x)) (= y (f x x))),unknown,105973
251,(and (< x (f y y)) (= y (- x (f y y)))),unknown,102435
252,(or (> (- x y) x) (>= (f x y) (- x y))),(define-fun f ((x Int) (y Int)) Int (+ x (* (- 1) y))),99851
253,(and (= (f y x) y) (= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),88898
254,(or (<= (+ (f x y) (+ y (f x y))) x) (< (+ y (f x y)) (f x y))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (* (- 1) y))) (let ((_let_1 (+ 1 x _let_0))) (let ((_let_2 (div _let_1 2))) (ite (and (>= y 0) (not (>= (+ x _let_0 (* (- 2) _let_2)) 0))) (div (+ (- 1) x _let_0) 2) _let_2))))),105524
255,(or (= (+ y y) y) (> y y)),unknown,100224
256,(or (= (f y y) (+ (f y y) (f y y))) (= (f y y) (+ (f y y) (f y y)))),(define-fun f ((x Int) (y Int)) Int 0),97649
257,(or (= y x) (= y x)),unknown,99336
258,(or (= y x) (= y x)),unknown,101405
259,(or (<= (- (f y y) x) y) (< (+ (f y y) x) (+ (f y y) x))),unknown,89263
260,(and (<= x x) (> (f x x) (f x x))),unknown,95322
261,(or (> x (+ (f x x) (f x x))) (> x (+ (f x x) (f x x)))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (div y 2))) (ite (and (= x y) (not (>= y 1))) (ite (>= (+ y (* (- 2) _let_0)) 1) _let_0 (div (+ (- 2) y) 2)) 0))),114463
262,(and (<= (f x x) (- (f x x) (f x x))) (>= (- (f x x) (f x x)) x)),unknown,97469
263,(and (< y (+ x x)) (= x x)),unknown,92766
264,(and (> y (+ (f x y) y)) (> x (+ (f x y) y))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (* (- 1) y))) (ite (>= (+ x _let_0) 0) (- 1) (+ (- 1) x _let_0)))),108961
265,(and (>= y y) (<= y (+ y x))),unknown,103482
266,(and (> (f y x) x) (> (f y x) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),106968
267,(and (= (- (f x y) y) (- (f x y) y)) (= (- (f x y) y) (- (f x y) y))),(define-fun f ((x Int) (y Int)) Int 0),98398
268,(and (< (- (+ y (f y x)) x) x) (< (- (+ y (f y x)) x) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x) (* 2 y))),98157
269,(or (= x (- x (f y x))) (= x (- x (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),93038
270,(and (<= x (+ x (f y x))) (<= x (+ x (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),96162
271,(or (>= x x) (> (f x x) (+ x x))),(define-fun f ((x Int) (y Int)) Int 0),92862
272,(or (<= y (- y (- (f y y) y))) (< y (f y y))),(define-fun f ((x Int) (y Int)) Int 0),93512
273,(and (>= x (f y y)) (>= x (f y y))),unknown,92531
274,(and (< (+ (f x x) y) y) (< (+ (f x x) y) y)),(define-fun f ((x Int) (y Int)) Int (- 1)),99888
275,(and (= (- x x) x) (= (- x x) x)),unknown,96656
276,(or (<= y y) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),94991
277,(or (<= (+ (f x y) x) x) (>= (- x (+ (f x y) x)) (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int 0),100968
278,(and (= (- y y) x) (= (- y y) x)),unknown,98912
279,(and (> (f y y) x) (>= (- (f y y) y) (f y y))),unknown,95014
280,(and (= (f y x) (f y x)) (= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),92811
281,(or (> x (f y y)) (= (f y y) y)),(define-fun f ((x Int) (y Int)) Int x),97841
282,(or (< (- x x) (f y x)) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int 1),98759
283,(and (< y y) (> (+ y (f y x)) (f y x))),unknown,97585
284,(or (> (+ y y) (+ (f y x) (f y x))) (>= (+ (f y x) (f y x)) y)),(define-fun f ((x Int) (y Int)) Int (ite (>= x 0) x (div (+ 1 x) 2))),101997
285,(and (>= y y) (< x (+ (f x x) x))),(define-fun f ((x Int) (y Int)) Int 1),99227
286,(and (<= (f y y) (- y (f y y))) (< (f y y) (- y (f y y)))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (+ 1 y))) (let ((_let_1 (div _let_0 2))) (let ((_let_2 (* (- 2) _let_1))) (let ((_let_3 (+ y _let_2))) (ite (and (= x y) (or (not (>= _let_3 1)) (not (>= _let_3 0)))) (div (+ (- 2) y) 2) (div (+ 1 x) 2))))))),106688
287,(and (<= (- (f y x) y) (f y x)) (> (- (f y x) y) x)),unknown,96638
288,(or (>= (f y x) (f y x)) (>= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),93178
