S No., Constraints, Programs, Exec. Time
26,(or (<= (f x y) (f x y)) (>= (+ x (f y x)) (+ x (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),46626
27,(or (<= (- (f y x) (f y x)) (+ x (f x y))) (<= (- (f y x) (f y x)) (+ x (f x y)))),(define-fun f ((x Int) (y Int)) Int (* (- 1) x)),49847
28,(and (<= x (+ y x)) (> x y)),unknown,51002
29,(and (> (f x y) (f y x)) (> (f x y) (f y x))),unknown,52748
30,(or (<= (f x y) y) (>= (f y x) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int y),54013
31,(and (> x (+ x (f x y))) (< y (+ x (f x y)))),unknown,50462
32,(and (>= (f x y) x) (>= (- y (f x y)) y)),unknown,55556
33,(or (= (f y x) (f y x)) (= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),54885
34,(or (= x (+ (f y x) x)) (= x (+ (f y x) x))),(define-fun f ((x Int) (y Int)) Int 0),46252
35,(and (= (f y x) (f x y)) (= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),54332
36,(and (< (+ y x) (+ y x)) (< (+ y x) (+ y x))),unknown,47977
37,(or (= (f y x) (- (f x y) (f y x))) (>= (f y x) (+ x y))),(define-fun f ((x Int) (y Int)) Int 0),55953
38,(or (< x y) (> y (f x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) y)),53243
39,(or (<= (- (f x y) x) (- (f x y) x)) (<= (- (f x y) x) (- (f x y) x))),(define-fun f ((x Int) (y Int)) Int 0),47566
40,(or (>= (+ x (f y x)) (f x y)) (< y x)),unknown,49298
41,(and (= x (+ y (f x y))) (>= y (f x y))),unknown,51533
42,(and (<= (f y x) (- x x)) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),50888
43,(or (> (f y x) y) (> (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),48481
44,(or (<= x (f y x)) (<= x y)),(define-fun f ((x Int) (y Int)) Int y),50238
45,(and (>= (f x y) y) (>= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),53631
46,(and (<= (f x y) (f x y)) (<= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),57153
47,(or (= x y) (<= (- (f x y) y) (f y x))),Timeout,129887
48,(or (> x x) (> x x)),unknown,47694
49,(and (< (f y x) (+ y (f y x))) (< y x)),unknown,47359
50,(or (> (+ (f x y) y) (+ (f x y) y)) (= (- y y) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),48873
51,(and (< y (f y x)) (< y (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),49908
52,(or (> (- x (- y y)) x) (<= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),60801
53,(and (>= (f x y) y) (<= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),52310
54,(or (> (f y x) (f y x)) (<= (f y x) x)),(define-fun f ((x Int) (y Int)) Int y),49771
55,(or (= (- (- x (f y x)) (f x y)) (- x (f y x))) (<= (- x (f y x)) x)),(define-fun f ((x Int) (y Int)) Int 0),55017
56,(and (>= (f x y) (f y x)) (= y x)),unknown,51800
57,(or (<= (f x y) (f y x)) (<= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),59501
58,(and (< (- (f x y) (f x y)) (f x y)) (< (- (f x y) (f x y)) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),54670
59,(or (= (f x y) y) (= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),46518
60,(or (>= (+ (f x y) (f x y)) (f y x)) (>= (+ (f x y) (f x y)) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),59951
61,(and (<= (f x y) y) (>= y x)),unknown,52344
62,(and (< (f x y) (+ (f x y) y)) (>= (f x y) (+ (f x y) y))),unknown,48149
63,(or (>= (f y x) x) (= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),47916
64,(and (< y (f y x)) (< y (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),46844
65,(or (>= x (f y x)) (= y (- (f y x) (f y x)))),(define-fun f ((x Int) (y Int)) Int y),49779
66,(or (< x (+ y (f x y))) (< x (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),49481
67,(and (<= x y) (> y y)),unknown,62172
68,(or (<= (- y (f y x)) (f x y)) (<= y (- y (f y x)))),(define-fun f ((x Int) (y Int)) Int y),54764
69,(or (= (f x y) (f y x)) (< (- (f x y) x) y)),(define-fun f ((x Int) (y Int)) Int 0),56342
70,(or (<= x y) (<= x y)),unknown,49637
71,(and (<= (f x y) (f y x)) (>= y y)),(define-fun f ((x Int) (y Int)) Int 1),65797
72,(and (>= (f x y) x) (= x y)),unknown,50719
73,(or (= y (f x y)) (> x (f x y))),(define-fun f ((x Int) (y Int)) Int y),49940
74,(and (<= (f x y) y) (= (+ y (+ y y)) (f y x))),unknown,49547
75,(or (<= y x) (<= y x)),unknown,47237
76,(or (> y x) (= (f x y) (- (f y x) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),53893
77,(or (<= (f x y) y) (<= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),49335
78,(and (<= (f x y) x) (<= (f x y) x)),(define-fun f ((x Int) (y Int)) Int x),50019
79,(or (<= (f x y) (+ (f x y) (f y x))) (<= (f x y) (+ (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),49990
80,(and (> (f y x) (- (f x y) (f y x))) (> (f y x) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int 1),54236
81,(or (> (f x y) (f y x)) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),51573
82,(and (> (- y (f y x)) x) (> (- y (f y x)) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x (* (- 1) y))),54655
83,(or (> (f x y) y) (> (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),52656
84,(or (< (+ y (+ y y)) (+ y y)) (< (+ y (+ y y)) (+ y y))),unknown,51538
85,(and (< (- (+ (f y x) (f y x)) (f x y)) x) (< (- (+ (f y x) (f y x)) (f x y)) x)),Timeout,125950
86,(or (> (f y x) (f y x)) (> (f y x) (f y x))),unknown,48293
87,(and (< x (- (f y x) (f y x))) (< x (- (f y x) (f y x)))),unknown,47139
88,(or (>= x (f y x)) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),47022
89,(or (< y (+ x (f y x))) (>= (f y x) (+ x (f y x)))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),52134
90,(and (<= y y) (> (f y x) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),48783
91,(or (= y (f y x)) (= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),46117
92,(or (< y x) (> (- (f x y) (- y (f x y))) (- (f x y) (- y (f x y))))),unknown,47589
93,(and (<= y (- x (f x y))) (= y (f x y))),unknown,51801
94,(or (< x (f x y)) (= y (+ y y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),53396
95,(and (> (f x y) (+ x (f x y))) (> (f y x) y)),unknown,50741
96,(and (<= (f x y) y) (<= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),52948
97,(and (> y (- (+ x y) (+ x y))) (<= x x)),unknown,51221
98,(and (> (f x y) (f y x)) (> (f x y) (f y x))),unknown,50126
99,(or (>= x (- x (f y x))) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),52005
100,(or (> (f x y) (f x y)) (> (f x y) (+ x (+ (f y x) x)))),unknown,55145
101,(and (< (+ (f x y) (f x y)) (f y x)) (< (+ (f x y) (f x y)) (f y x))),(define-fun f ((x Int) (y Int)) Int (- 0 1)),86947
102,(and (< (f y x) y) (> x (f y x))),(define-fun f ((x Int) (y Int)) Int (ite (>= (+ x (* (- 1) y)) 0) (+ (- 1) y) (+ (- 1) x))),53611
103,(or (= x (f x y)) (= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),48071
104,(and (> (- (f y x) (f y x)) (f y x)) (> (- (f y x) (f y x)) (f y x))),(define-fun f ((x Int) (y Int)) Int (- 1)),50601
105,(and (> x x) (> x x)),unknown,48799
106,(or (= x x) (= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),49751
107,(and (<= x y) (= (f x y) x)),unknown,53066
108,(and (>= x (f x y)) (>= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),50279
109,(and (<= y x) (<= (f x y) x)),unknown,49894
110,(and (> x (- (f x y) x)) (= x x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* 2 x))),57606
111,(and (< (f x y) (f y x)) (> (f x y) x)),unknown,52897
112,(and (> (f x y) (f x y)) (> (f x y) (f x y))),unknown,55034
113,(or (< (f y x) (f y x)) (< (f y x) (f y x))),unknown,51047
114,(or (< (- (f y x) (f x y)) x) (< (- (f y x) (f x y)) x)),unknown,53664
115,(and (<= (f y x) (f x y)) (<= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),58343
116,(and (<= (f y x) (+ (f y x) (- y (f y x)))) (<= (f y x) (+ (f y x) (- y (f y x))))),(define-fun f ((x Int) (y Int)) Int x),55817
117,(or (> (f y x) x) (> (f y x) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),53777
118,(or (= x (f y x)) (> (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int y),52820
119,(or (<= (+ x y) y) (<= (+ x y) y)),unknown,47928
120,(or (= (f y x) (f y x)) (= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),46303
121,(or (= (+ (f x y) x) (+ (f x y) x)) (> y (- x x))),(define-fun f ((x Int) (y Int)) Int 0),47169
122,(and (< x x) (< x x)),unknown,46128
123,(and (< (f x y) y) (= (f y x) (+ x (f y x)))),unknown,51523
124,(or (< (f y x) (+ x x)) (> (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* 2 y))),51409
125,(or (> x (f x y)) (> y (- (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),54655
126,(and (> x (- (f x y) (f x y))) (> x x)),unknown,56171
127,(or (<= y (f x y)) (= y x)),(define-fun f ((x Int) (y Int)) Int y),58769
128,(and (<= (- y (f x y)) y) (> (f x y) x)),(define-fun f ((x Int) (y Int)) Int (ite (>= x 0) (+ 1 x) 0)),58196
129,(or (> y (f x y)) (= (f y x) (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int (- y 1)),104542
130,(or (= x x) (= (- (f x y) y) (- (f x y) y))),(define-fun f ((x Int) (y Int)) Int 0),50196
131,(or (= y x) (= y x)),unknown,47978
132,(or (<= (f x y) y) (<= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),48363
133,(and (<= (f y x) x) (= (+ (- y y) (f y x)) y)),unknown,51648
134,(or (= (- x (f y x)) x) (= (- x (f y x)) x)),(define-fun f ((x Int) (y Int)) Int 0),46465
135,(or (> (- y (f x y)) x) (> (- y (f x y)) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x) y)),51216
136,(and (>= (- (f x y) y) y) (= (- (f x y) y) y)),(define-fun f ((x Int) (y Int)) Int (* 2 y)),47582
137,(and (> (f y x) (f y x)) (>= (f y x) (f x y))),unknown,48012
138,(and (= y (f x y)) (= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),51403
139,(or (< (f y x) (f x y)) (< y (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),81366
140,(and (> (+ (f y x) y) (+ y (f x y))) (> (f y x) (f x y))),unknown,54195
141,(or (>= x (- y y)) (>= x (- y y))),unknown,48666
142,(and (<= (f x y) (f y x)) (>= (+ (f y x) (f y x)) y)),Timeout,125683
143,(and (= (+ (f x y) x) (f y x)) (= (+ (f x y) x) (f y x))),unknown,56698
144,(or (>= (f x y) y) (>= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),50771
145,(and (>= (+ (f y x) (f x y)) (+ (f y x) (f x y))) (<= y (+ (f y x) (f x y)))),Timeout,125562
146,(and (> x x) (>= x (f y x))),unknown,48990
147,(and (= (f x y) (- (f x y) (f y x))) (= (f x y) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),45964
148,(or (>= y (+ y (f y x))) (>= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),48899
149,(or (<= x (- y x)) (<= x (- y x))),unknown,48540
150,(and (<= (f y x) (f y x)) (<= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),50349
151,(or (>= y (f x y)) (> (- y (f y x)) x)),(define-fun f ((x Int) (y Int)) Int y),52085
152,(or (< x (f y x)) (> x x)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),48657
153,(or (< x (f x y)) (>= (- (f y x) (f y x)) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),51240
154,(and (>= (+ y (f x y)) y) (>= (+ y (f x y)) y)),(define-fun f ((x Int) (y Int)) Int 0),52053
155,(or (= (+ (f y x) x) (f y x)) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),49895
156,(and (= (f y x) x) (< (f y x) (f y x))),unknown,49992
157,(or (>= (f y x) (- (f y x) (+ y x))) (= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),59709
158,(and (> (f y x) (+ (+ y x) (f y x))) (> (f y x) (+ (+ y x) (f y x)))),unknown,55266
159,(or (> (f x y) (f y x)) (< (f x y) y)),(define-fun f ((x Int) (y Int)) Int (- x 1)),74508
160,(and (< y x) (< y x)),unknown,47437
161,(or (< (f y x) x) (>= (f y x) (- y (- (f y x) (f y x))))),(define-fun f ((x Int) (y Int)) Int x),49450
162,(or (>= x y) (> x x)),unknown,49023
163,(and (>= (f x y) (+ (f y x) (f x y))) (> (+ y (f y x)) (f x y))),unknown,53728
164,(or (= (f y x) x) (= (f y x) x)),(define-fun f ((x Int) (y Int)) Int y),47213
165,(or (< (f x y) (- (f x y) (f y x))) (< (f x y) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int (- 1)),49710
166,(and (< (f y x) (+ x (+ (f x y) x))) (< (f y x) (+ x (+ (f x y) x)))),unknown,53150
167,(or (= x (f y x)) (> y x)),(define-fun f ((x Int) (y Int)) Int y),50173
168,(or (< (+ x y) (- y (f y x))) (> (+ x y) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) y))),57706
169,(and (< (+ y (f x y)) x) (> (f y x) (- (f x y) x))),unknown,71017
170,(or (> (+ (+ y (f y x)) x) x) (> (+ (+ y (f y x)) x) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 (* (- 1) x))),68519
171,(and (>= y x) (>= y (+ y x))),unknown,59624
172,(and (< y (+ x y)) (< x y)),unknown,71780
173,(or (<= (f y x) x) (<= y x)),(define-fun f ((x Int) (y Int)) Int y),63182
174,(or (> y x) (> y x)),unknown,56289
175,(and (> (f x y) (f x y)) (< (f x y) (+ (f y x) x))),unknown,53753
176,(or (> (f y x) x) (>= (+ y (f x y)) y)),(define-fun f ((x Int) (y Int)) Int 0),59781
177,(and (> (f x y) (- x y)) (= y x)),unknown,56517
178,(and (<= (f x y) (f x y)) (< (- (f y x) (f y x)) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),49149
179,(or (= (f x y) y) (> y (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int (- 1)),50800
180,(or (<= x y) (< (f y x) (+ y x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x y)),49351
181,(and (> (- (f y x) (f y x)) y) (> (- (f y x) (f y x)) y)),unknown,51034
182,(and (< (f y x) (f y x)) (< (f y x) (f y x))),unknown,47277
183,(or (> y (+ (f x y) x)) (> y (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x) y)),49645
184,(and (= (f x y) y) (= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),46735
185,(or (< x x) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),49957
186,(or (<= (- y x) y) (> x y)),unknown,50596
187,(or (<= y (f y x)) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),56323
188,(or (< (f y x) (+ y x)) (>= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),60328
189,(or (> y (- x (f y x))) (< y (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 (* (- 1) x) y)),62688
190,(and (>= y (f x y)) (>= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),55686
191,(and (>= (- (f y x) (f x y)) (- (f y x) (f x y))) (< (- (f y x) (f x y)) (+ x x))),unknown,51756
192,(and (<= (- (f y x) x) (f y x)) (<= y (f x y))),unknown,50593
193,(or (>= (- (- x (f x y)) (- x (f x y))) (f x y)) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),49566
194,(or (> y y) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),48501
195,(or (= (f y x) y) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),49040
196,(and (> (- (f y x) x) (f y x)) (<= (f y x) (f y x))),unknown,48283
197,(and (= (f y x) x) (= (f y x) x)),(define-fun f ((x Int) (y Int)) Int y),50490
198,(and (>= y (f x y)) (>= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),49595
199,(and (> (f y x) (f x y)) (> (f y x) (f x y))),unknown,53356
200,(and (= (+ y (f y x)) (f y x)) (= (+ y (f y x)) (f y x))),unknown,53898
201,(and (>= x (f x y)) (>= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),49376
202,(or (< (+ y (f y x)) (f x y)) (< (+ y (f y x)) (f x y))),unknown,54586
203,(and (>= (- y x) (- y x)) (>= (- y x) (- y x))),(define-fun f ((x Int) (y Int)) Int 0),52124
204,(or (<= (f y x) (- (f x y) (f y x))) (<= (f y x) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),58436
205,(and (= y (+ (f x y) y)) (= y (+ (f x y) y))),(define-fun f ((x Int) (y Int)) Int 0),52777
206,(or (= (- y (f y x)) x) (= (- y (f y x)) x)),(define-fun f ((x Int) (y Int)) Int (+ x (* (- 1) y))),58335
207,(and (= y (f x y)) (< y x)),unknown,56054
208,(and (= y x) (<= (- y (f y x)) (- (- y (f y x)) (f y x)))),unknown,57904
209,(and (< x (+ (f y x) y)) (< x (+ (f y x) y))),(define-fun f ((x Int) (y Int)) Int (+ 1 (* (- 1) x) y)),54640
210,(and (> (f x y) (f y x)) (> (f x y) (f y x))),unknown,50025
211,(or (= x x) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),45504
212,(and (>= (f x y) y) (>= (f x y) y)),(define-fun f ((x Int) (y Int)) Int y),45882
213,(and (> (f y x) y) (> (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),51903
214,(and (>= (f y x) (f y x)) (>= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),50090
215,(and (< (+ (f x y) x) x) (< y (f x y))),unknown,52522
216,(or (>= (- (f y x) x) x) (> y (- (f y x) x))),(define-fun f ((x Int) (y Int)) Int (* 2 y)),50297
217,(or (< (- x x) (f x y)) (< (- x x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),51272
218,(and (>= y (f y x)) (>= (- (f y x) (- (f x y) x)) y)),(define-fun f ((x Int) (y Int)) Int x),51744
219,(and (> (f x y) (f x y)) (> (f x y) (f x y))),unknown,45777
220,(and (>= (- (f y x) x) y) (< y (f y x))),(define-fun f ((x Int) (y Int)) Int (ite (>= y 2) (+ x y) (+ 1 x))),52254
221,(or (<= (f x y) x) (< (- x (f x y)) x)),(define-fun f ((x Int) (y Int)) Int x),51688
222,(and (> (f y x) x) (<= x (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int (ite (>= (+ x (* (- 2) y)) 1) (+ x (* (- 1) y)) (+ 1 y))),51382
223,(and (= y y) (= x (- (f x y) y))),(define-fun f ((x Int) (y Int)) Int (+ x y)),47337
224,(or (> x (+ (f x y) x)) (> x (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int (- 1)),48784
225,(and (< y y) (< y y)),unknown,48443
226,(or (<= y (+ (- (f x y) y) y)) (> (f x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),49026
227,(or (< (f y x) (f x y)) (>= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),52112
228,(and (= (+ x (f x y)) (- y y)) (< x (f y x))),unknown,50461
229,(and (<= (- (f x y) (f x y)) (- (f x y) (f x y))) (>= y x)),unknown,48445
230,(and (>= y (+ (f y x) x)) (>= y (+ (f y x) x))),(define-fun f ((x Int) (y Int)) Int (+ x (* (- 1) y))),50243
231,(or (< x (f y x)) (< x (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),50349
232,(and (> x x) (= y (f y x))),Timeout,179630
233,(or (>= y (f x y)) (>= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),78286
234,(and (<= x y) (<= x y)),unknown,59617
235,(and (= (+ (f x y) (f y x)) (+ y (f x y))) (= (+ (f x y) (f y x)) (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int x),49159
236,(and (< y (+ (f x y) (f x y))) (< y (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (+ 1 y))) (let ((_let_1 (div _let_0 2))) (ite (>= (+ y (* (- 2) _let_1)) 0) (div (+ 2 y) 2) _let_1)))),60093
237,(and (= (- (- (f x y) (f y x)) y) (f y x)) (> x y)),unknown,57620
238,(or (< (f y x) (f x y)) (< (f y x) (f x y))),unknown,53181
239,(and (<= (- y x) x) (>= y (- (f x y) (- y x)))),unknown,57865
240,(or (>= y y) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),52393
241,(and (>= (f x y) x) (>= (f x y) x)),(define-fun f ((x Int) (y Int)) Int x),50871
242,(and (= x x) (>= (- (f x y) (f x y)) (- (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),51162
243,(and (> (f y x) y) (= (- x (f x y)) (- x (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),52226
244,(or (<= y (- x (+ (f x y) x))) (< y (f x y))),(define-fun f ((x Int) (y Int)) Int (* (- 1) y)),52441
245,(or (< (f y x) x) (< (f y x) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) y)),56955
246,(and (< (+ (f y x) (f y x)) (f x y)) (< (+ (f y x) (f y x)) (f x y))),(define-fun f ((x Int) (y Int)) Int (- 0 1)),88866
247,(or (>= (f x y) (f x y)) (> x (f x y))),(define-fun f ((x Int) (y Int)) Int 0),52244
248,(and (> y (f y x)) (> y (f y x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),55529
249,(and (= (- (f y x) y) (f y x)) (<= (f x y) (f x y))),unknown,53330
250,(and (= (+ (f x y) (f y x)) (f x y)) (= (+ (f x y) (f y x)) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),51829
251,(and (< y x) (< y x)),unknown,44146
252,(or (= (f x y) (f x y)) (= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),47092
253,(or (> y (+ x (+ y (f x y)))) (> y (+ x (+ y (f x y))))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* (- 1) x))),49147
254,(or (<= (f y x) (f x y)) (>= (f x y) (- y (+ (f y x) x)))),(define-fun f ((x Int) (y Int)) Int 0),56881
255,(or (<= (f y x) y) (<= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),56852
256,(or (< (f x y) (f x y)) (= (- (f y x) x) (f x y))),unknown,59980
257,(or (= (- (f y x) (- y (f y x))) y) (= (- (f y x) (- y (f y x))) y)),(define-fun f ((x Int) (y Int)) Int x),51461
258,(and (= y (f x y)) (= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),44754
259,(and (> (f y x) (- x (f x y))) (= (f x y) (f y x))),Timeout,128404
260,(and (>= (f x y) y) (<= (- x x) (f y x))),(define-fun f ((x Int) (y Int)) Int (ite (>= y 1) y 0)),54988
261,(and (< x (+ (f y x) (f x y))) (< x (+ (f y x) (f x y)))),Timeout,124982
262,(and (<= (- (f y x) y) x) (>= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int (+ x y)),50704
263,(and (<= y (f y x)) (< y y)),unknown,48115
264,(or (< (f y x) (+ (- (f y x) (f x y)) x)) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),48835
265,(and (> x y) (> x y)),unknown,48592
266,(or (= y (- x (f x y))) (= y (- x (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ x (* (- 1) y))),52293
267,(or (< y (f x y)) (< y y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),49305
268,(and (> (f y x) x) (<= y x)),unknown,49944
269,(and (<= (- y (f y x)) (f y x)) (<= (- y (f y x)) (f y x))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (div x 2))) (ite (>= (+ x (* (- 2) _let_0)) 1) (div (+ 1 x) 2) _let_0))),54783
270,(and (> y y) (= (- x (f y x)) (f y x))),unknown,52474
271,(and (> (f x y) y) (> (f x y) (f y x))),unknown,54150
272,(or (<= (f y x) (+ (f x y) (f x y))) (<= (f y x) (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),61831
