S No., Constraints, Programs, Extracted Programs, Exec. Time
22,( or ( = ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1145879
23,( and ( >= ( f x y ) ( + ( f x y ) ( + ( + ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1174405
24,( or ( >= ( + x ( f x y ) ) ( f x y ) ) ( = ( - ( f x y ) y ) ( f x y ) ) ),unknown,unknown,1976768
25,( or ( > ( f x y ) ( f x y ) ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1534174
26,( and ( >= y ( f x y ) ) ( < ( + ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1213883
27,( and ( > ( + ( f x y ) x ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1210266
28,( and ( > x ( f x y ) ) ( >= ( - x ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1392759
29,( and ( = ( f x y ) ( f x y ) ) ( = ( f x y ) ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1886955
30,( and ( = ( f x y ) y ) ( > ( + ( + ( f x y ) y ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1231440
31,( and ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1228231
32,( and ( = ( f x y ) ( + ( + ( + ( f x y ) ( + ( - x ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ) ( > ( f x y ) ( - ( f x y ) ( - y ( f x y ) ) ) ) ),unknown,unknown,1214678
33,( and ( = ( f x y ) ( - ( f x y ) ( + ( f x y ) x ) ) ) ( > ( f x y ) ( + ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1522029
34,( or ( <= ( f x y ) y ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1673019
35,( or ( <= ( f x y ) y ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1157335
36,( or ( > x ( f x y ) ) ( < ( f x y ) ( + x ( f x y ) ) ) ),Timeout,Timeout,1200470
37,( or ( >= ( f x y ) y ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1127340
38,( or ( >= ( f x y ) ( f x y ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1602358
39,( or ( > ( f x y ) ( f x y ) ) ( < ( f x y ) x ) ),Timeout,Timeout,1756117
40,( and ( < ( + ( f x y ) y ) ( f x y ) ) ( <= ( f x y ) ( + ( - x ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1164964
41,( and ( < ( - ( f x y ) x ) ( f x y ) ) ( >= ( f x y ) x ) ),unknown,unknown,1234917
42,( and ( >= ( - x ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( - ( f x y ) y ) ( f x y ) ) ) ) ) ),unknown,unknown,1286606
43,( or ( = ( f x y ) ( - ( f x y ) x ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1968255
44,( and ( = ( f x y ) x ) ( < ( f x y ) ( - ( - x ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1377393
45,( or ( <= ( f x y ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1138488
46,( and ( = ( f x y ) x ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1124836
47,( or ( < ( f x y ) y ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1253720
48,( and ( <= ( f x y ) x ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,2001178
49,( and ( > y ( f x y ) ) ( >= y ( f x y ) ) ),Timeout,Timeout,1380604
50,( and ( <= ( - x ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),Timeout,Timeout,1223996
51,( and ( > ( f x y ) x ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1157795
52,( and ( >= ( f x y ) y ) ( <= ( f x y ) ( + ( f x y ) y ) ) ),unknown,unknown,1394357
53,( and ( = y ( f x y ) ) ( = y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1905652
54,( and ( >= y ( f x y ) ) ( <= x ( f x y ) ) ),unknown,unknown,1236598
55,( or ( = ( f x y ) ( - ( f x y ) ( + x ( f x y ) ) ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),((+ 1 y)),1282918
56,( and ( < y ( f x y ) ) ( = ( f x y ) ( - x ( f x y ) ) ) ),unknown,unknown,1141886
57,( and ( >= ( - ( f x y ) x ) ( f x y ) ) ( <= ( f x y ) x ) ),unknown,unknown,1653983
58,( or ( <= ( + ( + ( f x y ) ( - ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ( f x y ) ) ( f x y ) ) ( > ( - ( f x y ) ( + y ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1648766
59,( and ( <= ( f x y ) ( - ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ( = x ( f x y ) ) ),unknown,unknown,1187118
60,( or ( = ( f x y ) ( f x y ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1123224
61,( and ( >= x ( f x y ) ) ( <= ( f x y ) y ) ),Timeout,Timeout,1289007
62,( and ( <= x ( f x y ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1846788
63,( and ( >= x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1470057
64,( and ( < x ( f x y ) ) ( >= ( - ( f x y ) ( - ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,1144203
65,( or ( = ( f x y ) ( f x y ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1163177
66,( or ( < ( f x y ) x ) ( < y ( f x y ) ) ),Timeout,Timeout,1229198
67,( and ( < ( f x y ) ( f x y ) ) ( > ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,2005236
68,( and ( >= ( f x y ) y ) ( < ( f x y ) ( - ( f x y ) ( + ( - x ( f x y ) ) ( f x y ) ) ) ) ),unknown,unknown,1425196
69,( and ( = ( f x y ) ( + x ( f x y ) ) ) ( >= ( f x y ) x ) ),unknown,unknown,1171434
70,( and ( > ( f x y ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),unknown,unknown,1171883
71,( and ( = ( f x y ) ( f x y ) ) ( = ( f x y ) ( - y ( f x y ) ) ) ),unknown,unknown,1185993
72,( and ( < y ( f x y ) ) ( >= x ( f x y ) ) ),unknown,unknown,1843254
73,( or ( >= ( f x y ) ( f x y ) ) ( = ( + ( - ( - ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1327567
74,( and ( <= ( f x y ) ( f x y ) ) ( <= ( - ( + ( f x y ) y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1177663
75,( and ( <= ( - ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ( > ( - ( - ( f x y ) ( - ( f x y ) ( - ( + ( f x y ) ( + ( f x y ) ( + y ( f x y ) ) ) ) ( f x y ) ) ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1183750
76,( and ( = ( - ( f x y ) x ) ( f x y ) ) ( = ( f x y ) y ) ),unknown,unknown,1342456
77,( and ( < ( + ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1881709
78,( and ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( >= ( f x y ) ( - x ( f x y ) ) ) ),Timeout,Timeout,1313154
79,( or ( = ( f x y ) ( + y ( f x y ) ) ) ( <= ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1185075
80,( or ( < ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1169786
81,( or ( < x ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1497957
82,( and ( >= ( f x y ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1923051
83,( or ( = y ( f x y ) ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1248145
84,( or ( <= ( f x y ) y ) ( < x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1150229
85,( and ( < ( f x y ) ( f x y ) ) ( > ( f x y ) x ) ),unknown,unknown,1129535
86,( and ( > ( f x y ) ( + ( f x y ) ( + ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ) ( <= ( - y ( f x y ) ) ( f x y ) ) ),unknown,unknown,1449034
87,( and ( = ( f x y ) ( + ( f x y ) y ) ) ( = ( f x y ) ( f x y ) ) ),unknown,unknown,1649154
88,( and ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) y ) ),Timeout,Timeout,1227882
89,( and ( < ( + ( f x y ) y ) ( f x y ) ) ( > y ( f x y ) ) ),unknown,unknown,1191169
90,( and ( > ( - ( f x y ) y ) ( f x y ) ) ( >= y ( f x y ) ) ),unknown,unknown,1197991
91,( or ( > ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - ( - y ( f x y ) ) ( f x y ) ) ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1683870
92,( or ( > ( f x y ) ( f x y ) ) ( < ( f x y ) ( + y ( f x y ) ) ) ),unknown,unknown,1679600
93,( or ( > ( f x y ) ( f x y ) ) ( > ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ),Timeout,Timeout,1202838
94,( or ( <= ( f x y ) y ) ( >= ( f x y ) ( + ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1198250
95,( or ( >= x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1165661
96,( and ( <= ( + ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( - y ( f x y ) ) ) ) ),Timeout,Timeout,2033055
97,( and ( >= ( + ( f x y ) x ) ( f x y ) ) ( = ( + y ( f x y ) ) ( f x y ) ) ),unknown,unknown,1513598
98,( and ( > ( f x y ) y ) ( <= ( f x y ) ( - ( - ( f x y ) ( + y ( f x y ) ) ) ( f x y ) ) ) ),unknown,unknown,1181835
99,( and ( >= y ( f x y ) ) ( <= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1142897
100,( or ( >= ( f x y ) y ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1121193
101,( or ( > ( f x y ) y ) ( <= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1922459
102,( or ( < y ( f x y ) ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1341014
103,( or ( < ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1112519
104,( or ( <= ( f x y ) y ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1149671
105,( and ( = ( - ( + ( f x y ) ( - ( + ( f x y ) x ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1129954
106,( and ( = ( + ( f x y ) y ) ( f x y ) ) ( > y ( f x y ) ) ),unknown,unknown,2082195
107,( and ( <= ( f x y ) ( + ( + ( f x y ) ( + ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ) ( >= ( f x y ) ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1336233
108,( or ( >= ( - y ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1127647
109,( or ( = y ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1122210
110,( or ( >= ( f x y ) ( - ( f x y ) x ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1147407
111,( and ( <= ( f x y ) y ) ( >= ( + x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1984322
112,( or ( >= y ( f x y ) ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1285117
113,( and ( <= ( f x y ) ( f x y ) ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1144657
114,( or ( = ( f x y ) ( - ( - x ( f x y ) ) ( f x y ) ) ) ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1161165
115,( or ( = ( f x y ) ( + ( f x y ) ( - ( + y ( f x y ) ) ( f x y ) ) ) ) ( <= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1127608
116,( or ( = ( + ( + ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( < ( + ( f x y ) ( + ( f x y ) ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ) ( f x y ) ) ),Timeout,Timeout,2176429
117,( and ( < ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ( > ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ),Timeout,Timeout,1412257
118,( and ( < ( - ( f x y ) ( - ( + ( f x y ) y ) ( f x y ) ) ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),unknown,unknown,1169567
119,( or ( < ( f x y ) x ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1191239
120,( or ( <= ( f x y ) ( + ( f x y ) y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1394876
121,( or ( >= y ( f x y ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1794724
122,( and ( <= ( f x y ) x ) ( < ( f x y ) x ) ),Timeout,Timeout,1283965
123,( and ( = x ( f x y ) ) ( >= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1193849
124,( or ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( <= ( - ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1189209
125,( or ( >= ( f x y ) x ) ( = ( f x y ) ( + ( - ( f x y ) x ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1535783
126,( or ( >= ( - ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ( < x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ x x)),((+ x x)),1751040
127,( or ( >= ( f x y ) ( + ( f x y ) ( - ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1193984
128,( and ( = ( f x y ) x ) ( <= ( - ( + ( f x y ) ( - ( - ( f x y ) x ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1140226
129,( and ( <= ( f x y ) ( f x y ) ) ( > ( + x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1132747
130,( and ( > ( f x y ) y ) ( = ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,2618130
131,( and ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( + ( f x y ) ( - ( f x y ) y ) ) ) ),Timeout,Timeout,2240519
132,( and ( = ( f x y ) ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1185278
133,( or ( >= ( f x y ) ( + y ( f x y ) ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1148873
134,( or ( <= ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1180550
135,( or ( < ( f x y ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1919530
136,( and ( > ( f x y ) x ) ( <= y ( f x y ) ) ),Timeout,Timeout,1361560
137,( and ( > ( f x y ) ( - ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ( = y ( f x y ) ) ),unknown,unknown,1158990
138,( and ( < x ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) x ) ) ),unknown,unknown,1279638
139,( or ( > ( f x y ) x ) ( >= ( f x y ) ( - ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x y)),((- x y)),1483426
140,( or ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1764755
141,( or ( = ( f x y ) x ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1219231
142,( and ( > ( f x y ) ( f x y ) ) ( > ( + x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1167304
143,( and ( <= y ( f x y ) ) ( >= x ( f x y ) ) ),unknown,unknown,1155355
144,( and ( >= y ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1416825
145,( or ( <= ( - x ( f x y ) ) ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - y ( f x y ) ) ) ) ) ),Timeout,Timeout,1851969
146,( and ( < ( f x y ) x ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1279067
147,( and ( < x ( f x y ) ) ( >= y ( f x y ) ) ),unknown,unknown,1243623
148,( and ( > ( f x y ) x ) ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1169705
149,( or ( > ( - ( f x y ) ( + ( f x y ) y ) ) ( f x y ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1879752
150,( and ( >= ( f x y ) x ) ( < ( f x y ) ( - x ( f x y ) ) ) ),unknown,unknown,1643098
151,( or ( >= ( f x y ) ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ( < ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1210599
152,( or ( < ( f x y ) ( f x y ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1175162
153,( or ( = ( f x y ) x ) ( = ( f x y ) ( - x ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1127885
154,( or ( > y ( f x y ) ) ( <= ( + ( - y ( f x y ) ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1959785
155,( or ( > x ( f x y ) ) ( >= ( f x y ) ( - ( f x y ) x ) ) ),(define-fun f ((x Int) (y Int)) Int (+ x x)),((+ x x)),1401035
156,( and ( = ( f x y ) x ) ( = ( f x y ) ( - y ( f x y ) ) ) ),unknown,unknown,1115039
157,( or ( = ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( - ( - ( f x y ) ( + ( f x y ) ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1145729
158,( or ( > ( + ( f x y ) x ) ( f x y ) ) ( = ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1244281
159,( and ( > ( f x y ) y ) ( < x ( f x y ) ) ),Timeout,Timeout,2115460
160,( and ( = ( f x y ) ( f x y ) ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1280640
161,( and ( >= ( f x y ) ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1162290
162,( and ( >= ( + x ( f x y ) ) ( f x y ) ) ( = x ( f x y ) ) ),unknown,unknown,1185238
163,( and ( = ( f x y ) ( - ( f x y ) ( - ( f x y ) y ) ) ) ( > ( f x y ) ( - ( f x y ) ( + ( f x y ) x ) ) ) ),unknown,unknown,1382801
164,( or ( = ( f x y ) ( f x y ) ) ( <= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1880325
165,( or ( >= y ( f x y ) ) ( <= ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1255030
166,( and ( = x ( f x y ) ) ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1198506
167,( and ( <= ( + ( + ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1216541
168,( or ( > ( + ( f x y ) ( + y ( f x y ) ) ) ( f x y ) ) ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1453231
169,( or ( > ( f x y ) ( f x y ) ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1757268
170,( or ( = ( f x y ) y ) ( <= ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1192897
171,( and ( <= x ( f x y ) ) ( = ( f x y ) ( + y ( f x y ) ) ) ),unknown,unknown,1188479
172,( or ( >= ( f x y ) y ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1194155
173,( and ( < ( f x y ) ( - ( f x y ) ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ( >= ( f x y ) x ) ),unknown,unknown,1708208
174,( and ( > x ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1632266
175,( or ( >= ( f x y ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1191946
176,( and ( < ( f x y ) y ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1261698
177,( or ( < ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( = x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1142071
178,( and ( > ( f x y ) x ) ( > ( + ( - ( f x y ) x ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1894739
179,( or ( > ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( < ( f x y ) x ) ),Timeout,Timeout,1709867
180,( or ( < ( f x y ) ( - x ( f x y ) ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1126849
181,( or ( < ( f x y ) ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( + x ( f x y ) ) ) ) ),Timeout,Timeout,1204724
182,( or ( < ( f x y ) x ) ( > ( f x y ) ( + ( f x y ) ( - x ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),((+ 1 x)),1212163
183,( and ( < ( f x y ) y ) ( > ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,1959424
