S No., Constraints, Programs, Exec. Time
32,(or (< y (f y x)) (<= (- (f x y) x) x)),Timeout,156213
33,(and (= x (f x y)) (> (+ y (f y x)) (- (f y x) (+ y (f y x))))),unknown,125415
34,(or (>= (- x (+ y x)) (f x y)) (<= (+ y x) x)),(define-fun f ((x Int) (y Int)) Int (* (- 1) y)),125161
35,(and (<= (- (f y x) (f y x)) (f x y)) (<= (- (f y x) (f y x)) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),123975
36,(and (> (f x y) (- (f y x) (f y x))) (= x (- (f y x) (f y x)))),unknown,145711
37,(or (>= (+ x x) (- (f x y) y)) (>= (+ x x) (- (f x y) y))),(define-fun f ((x Int) (y Int)) Int (+ (* 2 x) y)),135205
38,(and (< (+ y (f y x)) (f x y)) (< (+ y (f y x)) (f x y))),Timeout,179123
39,(and (> (- x (f y x)) (f y x)) (>= x x)),(define-fun f ((x Int) (y Int)) Int (div (+ (- 1) y) 2)),190585
40,(or (< (- (- x (f y x)) y) (f y x)) (<= y (f y x))),Timeout,168316
41,(and (<= x x) (>= (f x y) x)),(define-fun f ((x Int) (y Int)) Int x),170212
42,(or (= (f y x) (+ (f y x) x)) (= (f y x) (+ (f y x) x))),unknown,163032
43,(or (> (f y x) x) (< (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),167775
44,(and (>= (f y x) y) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),168763
45,(and (< (f x y) (+ (f y x) (f x y))) (< (f x y) (+ (f y x) (f x y)))),(define-fun f ((x Int) (y Int)) Int 1),162497
46,(and (> (+ (- (f x y) x) (f y x)) x) (> (+ (- (f x y) x) (f y x)) x)),Timeout,168051
47,(or (>= (f x y) x) (>= (f x y) x)),(define-fun f ((x Int) (y Int)) Int x),157294
48,(or (= (+ (f x y) (f x y)) x) (< (f y x) x)),Timeout,168450
49,(or (<= (- (- (f y x) (f y x)) (- (f y x) (f y x))) y) (< x (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),165954
50,(and (= (f x y) (f y x)) (> y x)),Timeout,168836
51,(and (> x (f x y)) (>= x y)),unknown,158184
53,(and (<= (f y x) (f x y)) (<= (+ x (f x y)) (f y x))),unknown,156901
54,(or (<= (f x y) (f x y)) (<= (f x y) x)),(define-fun f ((x Int) (y Int)) Int 0),125149
55,(and (>= (f x y) x) (< y (f x y))),(define-fun f ((x Int) (y Int)) Int (ite (>= (+ x (* (- 1) y)) 2) x (+ 1 y))),133096
56,(or (> (+ (f x y) x) (+ (f x y) x)) (> (+ (f x y) x) (+ (f x y) x))),unknown,124547
57,(or (> (f y x) (f x y)) (> (f y x) (f x y))),unknown,133021
58,(or (<= x (f y x)) (<= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),131339
59,(and (< (+ (f x y) (f x y)) x) (>= (f x y) y)),unknown,133480
60,(and (<= x (+ (f x y) x)) (<= x (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int 0),134284
61,(and (>= (f y x) (f y x)) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),127705
62,(and (>= (+ (f y x) (f x y)) (+ y (f x y))) (>= (+ (f y x) (f x y)) (+ y (f x y)))),(define-fun f ((x Int) (y Int)) Int x),132278
64,(and (>= (f x y) (f x y)) (>= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),156322
65,(or (< x (f x y)) (< x (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),139293
66,(or (> y x) (> (f y x) y)),Timeout,199257
67,(and (> (f x y) y) (> (f x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),199268
68,(or (< x y) (= x (f y x))),Timeout,197417
69,(or (= x (+ (f x y) y)) (<= (f y x) x)),Timeout,206185
70,(or (>= (f x y) (f y x)) (<= (f x y) (- x x))),Timeout,197212
71,(and (<= (f y x) (+ (f y x) (f x y))) (>= (f x y) y)),Timeout,209759
72,(or (>= x (f y x)) (> y (f x y))),Timeout,208598
73,(or (>= (+ (f y x) (f y x)) (f y x)) (<= x (f x y))),Timeout,203728
74,(or (<= x (f x y)) (= x (f x y))),Timeout,195312
75,(or (= (f x y) (f y x)) (= (f x y) x)),Timeout,177288
76,(or (= y (- y (f x y))) (= y (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),178332
77,(or (< (+ (f x y) (f y x)) y) (<= (f y x) x)),Timeout,188186
79,(and (<= (+ (f y x) (f y x)) x) (<= (+ (f y x) (f y x)) x)),(define-fun f ((x Int) (y Int)) Int (div y 2)),185862
80,(or (<= (+ y y) (f x y)) (> (f y x) y)),Timeout,185051
81,(or (= y (+ (f x y) x)) (= (+ (f x y) (f y x)) (f y x))),Timeout,183113
82,(and (>= (f y x) x) (>= (f x y) (f y x))),Timeout,190229
83,(and (<= y (f y x)) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),136600
84,(or (> (f x y) (- (f x y) y)) (> (f x y) (- (f x y) y))),unknown,151548
85,(and (= y (f x y)) (> (- (f y x) x) (f y x))),Timeout,196869
86,(and (>= (f x y) (f x y)) (<= y (f y x))),Timeout,195660
87,(and (> (- (f y x) (f x y)) (f x y)) (> y (- (f y x) (f x y)))),Timeout,197610
